priority,batch,target,handle_or_org,type,best_channel,suggested_angle,status,public_reply_url,direct_message_channel,essay_url,sent_at,response_status,response_at,notes
11,2,"Jason Lemkin / SaaStr","SaaStr","SaaS founder/investor","X/LinkedIn comment","Before replacing sales with AI, founders need a manual learning loop.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","High authority; comment before direct send."
12,2,"Lenny Rachitsky","Lenny's Newsletter","Product/GTM media","Newsletter/community comment","Useful companion to AI sales-agent discussions.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Pitch only with clear tie to recent AI sales-agent piece."
13,2,"Kyle Poyar / Growth Unhinged","Growth Unhinged","GTM/monetization operator","LinkedIn/comment","$500/month teaches more than free pilots.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Pricing/paid pilot angle."
14,2,"Brian Balfour / Reforge","Reforge","Growth operator","LinkedIn/X","Early customer acquisition as product-learning loop.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Use growth loop framing."
15,2,"April Dunford","April Dunford","Positioning expert","LinkedIn/X","If you cannot demo it live, the wedge is too abstract.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Positioning/wedge angle."
16,2,"Amanda Natividad","Amanda Natividad","Content/GTM operator","X/LinkedIn","Native post first, link later as reach mechanism.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Distribution mechanics angle."
17,2,"Emily Kramer / MKT1","MKT1","B2B marketing operator","LinkedIn/newsletter","When marketing should not be the first move.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Early B2B marketing boundary angle."
18,2,"Hiten Shah","Hiten Shah","SaaS founder/operator","X/LinkedIn","First 10 customers are product discovery with revenue attached.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Customer learning angle."
19,2,"Gokul Rajaram","Gokul Rajaram","Product/operator/investor","X/LinkedIn","Customer #1 should teach customer #11.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Product-market learning angle."
20,2,"Tomasz Tunguz","Tomasz Tunguz","SaaS investor/operator","LinkedIn/Substack comment","Paid pilots as signal, not just revenue.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Metrics/revenue-quality angle."
21,3,"Rohan Chopra / Convey","Convey","B2B AI founder","LinkedIn/email if public","Running one workflow live before broad platform claims.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Verify founder profile and public channel before send."
22,3,"Diego Canales / Convey","Convey","B2B AI founder","LinkedIn","Design partner rights versus custom consulting.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Verify profile before send."
23,3,"Will Harvey / Convey","Convey","B2B AI founder","LinkedIn","Turn founder attention into repeatable product learning.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Verify profile before send."
24,3,"Joe Schmidt / a16z","a16z","AI investor","X/LinkedIn","Forwardable portfolio note on first 10 customers for B2B AI.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Use investor-forwardable framing."
25,3,"Mark Kosoglow / Operator.ai","Operator.ai","GTM founder/operator","LinkedIn/X","AI GTM works after the manual motion is understood.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Sales workflow/GTM operator angle."
26,3,"Max Altschuler / GTMfund","GTMfund","GTM investor/community","LinkedIn/X","First 10 customer loop for AI founders.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Community forwarding potential."
27,3,"Jeanne DeWitt Grosser / SignalFire","SignalFire","Sales/operator","LinkedIn","Do not hire sales before the founder learning loop is clear.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","Founder-led to sales-led transition angle."
28,3,"Sarah Guo / Conviction","Conviction","AI investor","X/LinkedIn","B2B AI pre-repeatable GTM playbook.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","High authority; use only after lower-ego targets."
29,3,"Elad Gil","Elad Gil","AI/startup investor","X/LinkedIn","The first 10 customers are recruited through founder attention.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","High authority; comment or reply first if possible."
30,3,"Sarah Tavel / Benchmark","Benchmark","Early-stage investor","X/LinkedIn","Customer #1 should teach customer #11.","drafted","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","","","","PMF/customer learning angle."
